SKU,Nombre_Producto,Categoria,Proveedor,Costo_Unitario,Precio_Venta,Stock_Actual,Stock_Minimo,Ultima_Reposicion,headers,params,query,body,webhookUrl,executionMode
REG-030,Set Bombas de Baño Efervescentes,Cuidado Personal,BioBelleza,4.00,12.50,13,10,2023-10-25,,,,,,
REG-031,Llavero Peluche Unicornio,Accesorios,Mundo Peluche SA,1.80,5.99,40,15,2023-09-22,,,,,,
REG-032,Reloj de Pared Minimalista,Hogar,DecorHome,12.00,35.00,4,3,2023-08-18,,,,,,
REG-033,Set Vinera (Sacacorchos/Tapón),Gourmet,Vinos y Mas,8.50,25.00,10,5,2023-11-01,,,,,,
REG-034,Caja Sorpresa Dulces Japoneses,Gourmet,Dulces Momentos,10.00,22.00,5,5,2023-10-10,,,,,,
REG-035,Papel Envoltura Rollo 5m,Papelería,PapelArte,1.20,3.99,80,25,2023-11-08,,,,,,
REG-036,Peluche Dinosaurio T-Rex,Juguetes,Mundo Peluche SA,7.00,19.99,12,6,2023-09-18,,,,,,
REG-037,Cartera Piel Sintética Mujer,Accesorios,Moda Textil,6.50,22.00,15,8,2023-10-05,,,,,,
REG-038,Juego Cartas Uno/Similar,Juguetes,FunGames,3.50,9.00,25,10,2023-11-15,,,,,,
REG-039,Portavelas Cristal Mosaico,Hogar,DecorHome,4.20,13.50,18,8,2023-09-28,,,,,,
REG-040,Set 3 Jabones Artesanales,Cuidado Personal,BioBelleza,5.00,15.00,16,10,2023-10-12,,,,,,
REG-041,Banderines Fiesta Multicolor,Fiesta,PartyTime Inc,2.00,6.50,45,15,2023-06-30,,,,,,
REG-042,Mochila Escolar Básica,Accesorios,Oficina Global,9.00,24.99,5,10,2023-08-25,,,,,,
REG-043,Kit Pintura por Números,Juguetes,HobbyArts,7.50,19.99,9,5,2023-10-01,,,,,,
REG-044,Aretes Perla Cultivada (Pequeños),Joyería,Bisutería Fina,8.00,25.00,14,5,2023-09-10,,,,,,
REG-045,Cinta Adhesiva Decorativa Washi,Papelería,PapelArte,0.50,2.50,110,30,2023-10-15,,,,,,
REG-046,Humidificador Ultrasónico LED,Hogar,Importaciones China,11.00,29.99,7,4,2023-11-05,,,,,,
REG-047,Galletas Mantequilla Danesas,Gourmet,Dulces Momentos,4.00,9.99,11,10,2023-11-12,,,,,,
REG-048,Álbum de Fotos Autoadhesivo,Papelería,PapelArte,6.00,17.50,8,6,2023-09-05,,,,,,
REG-049,Set Pinceles Acuarela,Papelería,HobbyArts,5.50,14.00,12,8,2023-10-22,,,,,,
REG-050,Gorra Béisbol Bordada,Ropa,Moda Textil,3.80,12.50,20,10,2023-08-10,,,,,,
REG-051,Juguete Antiestrés Fidget,Juguetes,Importaciones China,1.00,5.00,60,20,2023-11-18,,,,,,
REG-052,Set Posavasos Corcho (6pz),Hogar,EcoVida,2.50,7.99,25,10,2023-09-15,,,,,,
REG-053,Caja Fuerte Libro (Simulada),Hogar,Importaciones China,8.00,19.99,6,4,2023-07-20,,,,,,
REG-054,Colgante Atrapasueños,Hogar,Artesanías Locales,4.50,13.50,15,5,2023-10-02,,,,,,
REG-055,Set Manicure Viaje,Cuidado Personal,BioBelleza,3.20,9.99,18,10,2023-09-25,,,,,,
REG-056,Chocolates con Licor,Gourmet,Dulces Momentos,6.00,15.50,9,10,2023-11-10,,,,,,
REG-057,Pluma Fuente Económica,Papelería,Oficina Global,4.00,11.99,14,8,2023-10-05,,,,,,
REG-058,Pelota Goma Rebotadora,Juguetes,ToysDistro,0.30,1.50,85,20,2023-06-15,,,,,,
REG-059,Incienso Sándalo (Caja),Hogar,Aromas Naturales,0.90,3.50,55,15,2023-10-30,,,,,,
REG-060,Bolsa Ecológica Tela Reutilizable,Accesorios,EcoVida,1.50,5.00,40,20,2023-11-01,,,,,,
REG-061,Llavero Abrebotellas,Accesorios,Importaciones China,0.70,3.00,75,30,2023-08-22,,,,,,
REG-062,Set Tizas Colores Pastel,Papelería,HobbyArts,2.00,6.99,16,10,2023-09-12,,,,,,
REG-063,Florero Vidrio Soplado,Hogar,DecorHome,7.50,22.00,5,4,2023-05-18,,,,,,
REG-064,Baraja Cartas Póker,Juguetes,FunGames,1.80,5.50,35,15,2023-10-15,,,,,,
REG-065,Aceite Esencial Lavanda 10ml,Hogar,Aromas Naturales,3.50,11.00,22,8,2023-11-08,,,,,,
REG-066,Pulsera Cuero Hombre,Joyería,Bisutería Fina,3.00,10.99,19,10,2023-09-05,,,,,,
REG-067,Té Matcha en Polvo 50g,Gourmet,Vinos y Mas,9.00,21.00,8,6,2023-10-25,,,,,,
REG-068,Estuche Lápices Escolar,Papelería,Oficina Global,2.50,7.99,32,15,2023-08-30,,,,,,
REG-069,Sombrero Playa Paja,Ropa,Moda Textil,5.00,16.50,4,8,2023-06-10,,,,,,
REG-070,Espejo Maquillaje con Luz,Cuidado Personal,Importaciones China,14.00,39.99,6,4,2023-10-18,,,,,,
REG-071,Imanes Nevera Set Ciudades,Hogar,Importaciones China,2.00,6.50,40,15,2023-09-20,,,,,,
REG-072,Carro Juguete Fricción,Juguetes,ToysDistro,4.50,12.99,15,10,2023-11-11,,,,,,
REG-073,Set Regalo Vinos (Aireador),Gourmet,Vinos y Mas,11.00,29.99,7,5,2023-10-05,,,,,,
REG-074,Manta Sofá Polar Suave,Hogar,Moda Textil,8.50,24.00,9,6,2023-01-20,,,,,,
REG-075,Libro Colorear Adultos Mandalas,Papelería,PapelArte,4.00,11.50,21,10,2023-09-15,,,,,,
REG-076,Gargantilla Terciopelo Choker,Joyería,Bisutería Fina,1.50,5.99,28,12,2023-08-05,,,,,,
REG-077,Termo Comida Acero Inox,Hogar,EcoVida,9.50,26.00,8,5,2023-10-28,,,,,,
REG-078,Pines Metálicos Decorativos,Accesorios,PapelArte,0.40,2.00,150,40,2023-11-15,,,,,,
REG-079,Soporte Celular Escritorio,Accesorios,Importaciones China,2.00,7.50,45,15,2023-10-10,,,,,,
REG-080,Cesta Mimbre Decorativa,Hogar,Artesanías Locales,6.00,18.00,5,5,2023-07-25,,,,,,
REG-081,Anillo Acero Inoxidable,Joyería,Bisutería Fina,2.50,8.50,35,15,2023-09-30,,,,,,
REG-082,Diario Personal con Candado,Papelería,Oficina Global,5.50,15.99,11,8,2023-10-08,,,,,,
REG-083,Pantuflas Forma Animales,Ropa,Moda Textil,7.00,19.99,10,8,2023-11-02,,,,,,
REG-084,Kit Preparación Sushi Básico,Gourmet,Gourmet Imports,12.00,32.00,5,4,2023-09-18,,,,,,
REG-085,Mini Planta Artificial Suculenta,Hogar,DecorHome,1.80,6.00,60,20,2023-10-20,,,,,,
REG-086,Lupa Lectura con Luz,Accesorios,Importaciones China,3.50,11.50,14,8,2023-08-15,,,,,,
REG-087,Set Sellos Goma Niños,Papelería,HobbyArts,3.00,8.99,19,10,2023-09-22,,,,,,
REG-088,Cadena Gafas Lectura,Accesorios,Bisutería Fina,1.50,5.50,24,10,2023-07-30,,,,,,
REG-089,Caja Té Surtido Madera,Gourmet,Vinos y Mas,15.00,42.00,4,3,2023-11-12,,,,,,
REG-090,Pizarra Pequeña Tiza Cocina,Hogar,DecorHome,4.00,12.00,15,8,2023-09-10,,,,,,
REG-091,Set Posits Formas Geométricas,Papelería,Oficina Global,1.00,3.99,70,20,2023-10-25,,,,,,
REG-092,Muñeca Trapo Tradicional,Juguetes,Artesanías Locales,8.00,24.00,7,5,2023-06-20,,,,,,
REG-093,Dispensador Jabón Cerámica,Hogar,Cerámicas Del Valle,5.50,16.00,9,6,2023-10-15,,,,,,
REG-094,Correa Perro Nylon Reflectante,Mascotas,Mundo Animal,3.50,11.50,12,8,2023-09-28,,,,,,
REG-095,Juguete Gato Ratón Cuerda,Mascotas,Mundo Animal,1.20,4.50,30,10,2023-11-05,,,,,,
REG-096,Bolsa Caramelo Granel 1kg,Gourmet,Dulces Momentos,4.50,12.00,20,10,2023-11-01,,,,,,
REG-097,Clip Cabello Perlas,Accesorios,Moda Textil,1.00,3.99,50,20,2023-08-12,,,,,,
REG-098,Bandeja Desayuno Bambú,Hogar,EcoVida,10.00,28.00,6,4,2023-09-05,,,,,,
REG-099,Set Velas Cumpleaños Numéricas,Fiesta,PartyTime Inc,0.80,3.00,90,30,2023-11-14,,,,,,
REG-100,Organizador Escritorio Malla,Papelería,Oficina Global,6.50,18.99,10,8,2023-10-20,,,,,,
